327,republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
328,democrat,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1
329,democrat,1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0
330,republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
331,democrat,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
332,democrat,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
333,democrat,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
334,democrat,-1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1
335,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
336,democrat,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,0,1
337,democrat,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
338,democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
339,republican,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
340,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1
341,democrat,-1,0,1,0,-1,1,1,1,1,1,1,-1,0,0,1,1
342,democrat,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1
343,republican,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1
344,democrat,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
345,republican,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1
346,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
347,republican,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
348,democrat,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0
349,republican,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1
350,democrat,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1
351,republican,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
352,democrat,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,0
353,republican,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1
354,democrat,-1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1
355,republican,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1
356,republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
357,republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
358,democrat,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0
359,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1
360,democrat,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1
361,democrat,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0
362,democrat,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
363,republican,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
364,republican,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1
365,democrat,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1
